DateTime,AddedIPs,RemovedIPs
1601246194,3,5
1601248367,1,1
1601250267,1,1
1601252202,2,0
1601254331,0,1
1601256253,1,1
1601258330,2,1
1601260352,1,0
1601262254,2,0
1601264169,0,4
1601266132,1,1
1601268015,1,0
1601275689,0,3
1601277635,0,1
1601279552,1,0
1601281454,0,1
1601283398,0,1
1601287420,1,0
1601289392,1,2
1601295178,0,1
1601297070,0,2
1601300948,0,2
1601302834,1,1
1601308613,0,1
1601310525,1,0
1601312499,1,1
1601316295,0,3
1601318168,2,0
1601322012,1,1
1601323937,0,2
1601325933,2,3
1601327770,4,1
1601329728,0,1
1601331608,0,1
1601333550,1,2
1601335516,2,1
1601337396,4,4
1601339340,1,2
1601341357,5,0
1601343415,3,2
1601345675,0,3
1601347774,0,1
1601349608,1,1
1601353474,2,0
1601357292,2,0
1601359299,2,0
1601363077,1,0
1601365010,1,0
1601366952,0,1
1601370759,1,0
1601374854,1,1
1601380576,1,1
1601382496,2,0
1601384597,11,1
1601386594,1,0
1601388500,0,1
1601390411,2,0
1601392360,0,1
1601394251,1,0
1601398115,0,1
1601400014,1,1
1601401932,1,1
1601403971,2,1
1601406212,1,0
1601408189,1,1
1601410118,2,0
1601412012,1,1
1601413930,6,2
1601415874,2,1
1601418024,5,1
1601419929,1,1
1601421851,3,2
1601423800,3,4
1601425716,2,0
1601427666,1,3
1601429529,5,3
1601431708,2,0
1601433612,0,1
1601435598,0,1
1601437454,2,0
1601439450,3,2
1601441286,1,0
1601443230,0,1
1601445130,1,2
1601447074,1,2
1601450886,0,1
1601453771,2,1
1601455711,1,0
1601459803,0,1
1601461709,0,1
1601464570,4,1
1601466487,1,0
1601470333,1,12
1601472254,1,2
1601474193,1,0
1601476089,2,1
1601478038,1,1
1601481861,0,1
1601483795,1,0
1601485698,1,1
1601487613,3,2
1601489772,1,2
1601491927,1,0
1601493852,0,1
1601495797,0,1
1601497687,0,1
1601499669,2,5
1601501530,3,3
1601504406,1,5
1601506328,1,1
1601508275,1,2
1601510174,3,2
1601512087,3,2
1601514068,2,0
1601515957,0,2
1601517786,1,1
1601519794,0,2
1601523831,0,3
1601526067,1,2
1601527954,0,1
1601529881,1,0
1601533738,1,1
1601535685,1,0
1601540707,3,1
1601544517,2,0
1601547397,0,1
1601550496,2,3
1601554328,0,2
1601556273,2,1
1601558185,0,1
1601560094,0,1
1601562039,1,2
1601563935,3,1
1601565882,2,1
1601567831,2,0
1601569690,4,0
1601571787,0,1
1601573766,0,4
1601575586,2,0
1601577400,1,2
1601581228,1,1
1601583155,1,0
1601585052,1,2
1601587218,1,1
1601589166,0,4
1601592980,0,2
1601594914,1,0
1601596872,0,2
1601598755,0,3
1601600929,2,3
1601602844,2,0
1601604775,1,2
1601608577,0,1
1601612677,1,1
1601616489,1,1
1601618517,0,2
1601620332,1,0
1601622295,0,1
1601626360,0,4
1601628288,0,1
1601630189,2,0
1601632122,1,0
1601635941,1,1
1601639799,2,1
1601641816,0,2
1601644811,2,0
1601648675,0,1
1601650576,1,2
1601652764,1,1
1601654698,0,4
1601656608,0,3
1601658545,1,0
1601662369,2,1
1601664310,0,1
1601666198,1,1
1601668108,0,1
1601671943,3,1
1601673876,2,1
1601675839,0,1
1601677708,1,0
1601679737,1,0
1601681559,2,1
1601683507,1,0
1601687320,3,3
1601689236,4,2
1601691376,1,3
1601693291,1,0
1601695208,1,0
1601697129,1,0
1601699075,3,1
1601700974,1,1
1601702890,0,1
1601704844,1,0
1601706733,1,2
1601708892,1,0
1601710810,1,0
1601712756,1,0
1601716569,1,1
1601718515,0,2
1601720409,0,1
1601722328,0,1
1601724275,2,1
1601726169,0,2
1601728087,1,0
1601730061,1,0
1601733850,1,1
1601737695,1,3
1601739610,2,0
1601743452,0,1
1601745368,1,0
1601749209,0,2
1601751131,0,1
1601756888,1,0
1601758883,1,3
1601760730,5,1
1601762651,4,0
1601764592,2,1
1601766491,3,1
1601768413,2,2
1601770352,1,0
1601772248,4,2
1601774169,1,4
1601776118,3,3
1601778012,4,0
1601779931,5,0
1601781992,1,2
1601784064,0,1
1601785929,2,1
1601787848,2,0
1601793606,0,1
1601795558,1,0
1601797449,0,1
1601799365,1,0
1601801311,2,0
1601803206,0,2
1601808968,1,0
1601810888,0,2
1601812844,3,0
1601814728,1,1
1601816648,0,1
1601818598,2,0
1601820493,2,0
1601824360,0,1
1601826247,1,3
1601832005,1,1
1601837771,2,0
1601841646,0,1
1601843530,0,1
1601845709,3,0
1601847657,2,4
1601849577,1,2
1601851467,1,2
1601853381,2,3
1601855347,0,2
1601859144,2,6
1601861100,2,1
1601864909,0,3
1601866892,0,4
1601868758,2,1
1601870924,1,0
1601872837,0,3
1601874789,1,1
1601876649,1,0
1601880531,3,0
1601882445,3,1
1601884355,0,1
1601886294,1,3
1601888222,0,1
1601890115,2,1
1601893961,2,0
1601896097,0,1
1601898010,2,0
1601899961,0,2
1601903771,1,2
1601905718,1,4
1601907615,1,2
1601909532,3,0
1601911478,0,1
1601913369,0,1
1601915531,2,0
1601917456,0,1
1601919405,0,1
1601921296,3,0
1601923213,2,1
1601927050,2,0
1601928970,0,2
1601930914,1,1
1601932809,4,2
1601934728,3,1
1601936682,0,4
1601938569,4,0
1601940735,4,1
1601942652,2,0
1601944601,3,1
1601946493,1,2
1601948413,2,1
1601950359,0,1
1601952253,0,1
1601956304,1,0
1601958275,0,1
1601960168,2,1
1601962087,1,2
1601964090,1,0
1601965938,0,1
1601967855,1,7
1601969795,0,1
1601971696,1,1
1601973610,1,1
1601975561,2,3
